0.119474,19,331,3707.68
0.222999,20,330,3846.96
0.318675,18,332,3476.84
0.413513,18,332,3401.21
0.508292,17,333,3225.39
0.602184,18,332,3404.79
0.69605,16,334,3000.65
0.790074,17,333,3186.15
0.883191,18,332,3239.8
0.977645,15,335,2766.39
1.07175,17,333,3074.18
1.16586,15,335,2783.02
1.2589,16,334,2812.67
1.35268,14,336,2701.21
1.44681,16,334,2836.1
1.54043,13,336,2290.4
1.63386,12,337,2247.57
1.72752,14,335,2507.57
1.82245,12,337,2161.99
1.91469,13,336,2323.35
2.00919,10,339,1953.56
2.10302,10,339,1853.91
2.1971,9,340,1689.95
2.29096,10,339,1798.63
2.38443,10,339,1795.22
2.47809,10,339,1769.98
2.57187,10,339,1782.08
2.66539,10,339,1748.45
2.75948,9,340,1661.96
2.85348,10,339,1651.16
2.94617,8,341,1449.49
3.04023,9,340,1514.65
3.13594,9,340,1550.43
3.22908,6,343,1088.11
3.32171,8,341,1442.08
3.4202,8,341,1437.17
3.51526,7,342,1193.05
3.60946,8,341,1392.81
3.70388,7,342,1192.26
3.80275,7,342,1169.86
3.90161,7,342,1225.1
4.00265,6,343,1015.13
4.10086,4,345,604.076
4.19805,7,342,1093.82
4.29331,4,345,656.278
4.39173,7,342,1113.6
4.49064,7,342,1119.3
4.58778,3,346,472.835
4.68372,7,342,1136.85
4.77829,6,343,1041.19
4.87237,4,345,663.723
4.9671,7,342,1105.75
5.06211,5,344,831.684
5.15622,5,344,729.409
5.25338,6,343,919.583
5.34922,4,345,595.945
5.44494,6,343,954.226
5.54058,3,346,525.519
5.63956,4,345,630.967
5.73526,6,343,969.305
5.83126,2,347,414.551
5.9283,3,346,405.291
6.02914,4,345,631.326
6.12271,3,346,484.256
6.2171,2,347,280.768
6.31313,2,347,373.632
6.41276,5,344,785.798
6.51011,2,347,283.128
6.60593,3,346,470.907
6.70147,3,346,475.674
6.79625,2,347,289.524
6.88992,3,345,459.531
6.98308,3,345,438.367
7.076,3,345,467.259
7.17128,2,345,334.816
7.26618,4,343,551.224
7.36043,1,346,195.57
7.45447,3,344,480.743
7.54698,1,346,156.054
7.64096,3,344,474.101
7.73548,4,343,642.944
7.82949,1,346,136.667
7.92153,3,344,404.693
8.01469,2,345,274.51
8.10873,2,345,276.278
8.20158,3,344,460.508
8.29423,2,345,314.769
8.38627,2,345,302.044
8.47933,4,343,611.189
8.57224,2,345,275.126
8.66381,2,345,291.055
8.76048,3,344,497.11
8.85844,0,347,0
8.96644,2,345,276.15
9.06749,3,344,469.434
9.17526,1,346,161.684
9.27437,3,343,493.294
9.37368,2,344,341.547
9.47354,3,343,494.368
9.57652,4,342,605.166
9.67649,2,344,306.053
9.77524,2,344,312.27
9.87118,3,343,515.503
9.96579,0,346,0
10.0609,4,342,621.783
10.1564,3,343,525.704
10.254,0,345,0
10.3483,4,341,603.843
10.4439,2,343,322.818
10.5377,2,343,330.355
10.6324,2,343,360.287
10.7267,1,344,144.579
10.8203,4,341,580.836
10.9137,3,342,460.049
11.0072,2,342,277.232
11.1012,4,340,592.502
11.1944,2,342,298.579
11.2874,3,341,422.748
11.3804,2,342,273.59
11.4707,4,340,570.609
11.565,2,342,292.17
11.6562,2,342,359.492
11.7507,2,342,266.556
11.8439,3,341,481.828
11.9378,2,342,339.441
12.0318,1,343,159.316
12.1257,3,341,422.112
12.2262,1,343,217.787
12.3218,1,343,121.508
12.4154,2,342,364.366
12.5081,3,340,468.417
12.6061,1,341,135.029
12.7017,2,340,321.051
12.7951,1,341,119.278
12.891,2,340,326.613
12.9884,2,340,344.977
13.0818,1,341,138.264
13.1721,3,339,502.071
13.2643,1,341,177.408
13.3554,2,340,305.485
13.445,3,339,473.647
13.5345,1,341,141.448
13.6257,2,340,297.274
13.7169,2,340,359.992
13.8071,1,341,173.134
13.8978,1,341,218.96
13.9883,3,339,502.981
14.078,1,341,137.199
14.168,2,340,314.664
14.2589,2,340,272.493
14.3554,1,341,192.679
14.4511,2,340,274.644
14.5484,2,340,285.292
14.6454,1,341,161.674
14.7363,2,340,349.81
14.8334,2,340,302.207
14.9302,2,340,302.28
15.0293,2,340,322.854
15.1251,2,340,316.375
15.2186,3,339,481.159
15.3085,2,340,312.979
15.3987,2,340,293.518
15.4887,2,339,285.737
15.5793,3,338,428.673
15.6694,3,338,431.965
15.7594,1,340,152.475
15.8493,2,339,333.808
15.9388,4,337,632.1
16.0311,1,340,152.928
